carat,clarity,cut,y dimension,price
0.45,4,1,4.88,2100.0
0.7,9,5,5.7,4300.0
0.75,1,4,5.41,2200.0
0.8,9,3,6.0,6300.0
1.25,5,2,6.9,10400.0
0.55,4,1,5.39,2800.0
0.75,8,4,6.3,7800.0
0.65,1,3,5.57,3400.0
1.3,5,1,7.0,10200.0
0.5,8,5,5.19,3200.0
0.85,5,3,6.11,6400.0
0.75,1,2,5.6,2300.0
1.05,9,5,6.62,9300.0
0.4,4,1,4.7,2400.0
1.2,8,4,6.8,10100.0
0.75,1,3,5.88,2600.0
0.75,5,2,5.89,4500.0
0.95,9,5,6.41,6900.0
1.15,4,3,6.88,9600.0
0.55,8,1,5.3,3100.0
0.75,10,4,6.52,7700.0
0.65,5,2,5.58,3300.0
0.8,1,1,6.08,4000.0
0.75,9,4,6.53,7900.0
1.3,4,3,7.1,10300.0
0.7,8,1,5.77,4300.0
0.4,5,4,4.78,2100.0
1.05,1,2,6.68,7400.0
0.85,9,1,6.21,6500.0
0.75,4,3,5.69,4100.0
0.45,8,5,4.9,2600.0
1.2,5,4,6.88,10100.0
0.5,8,1,5.12,3200.0
0.6,4,3,5.52,3500.0
1.4,9,2,7.2,12000.0
0.75,10,1,6.41,8000.0
0.75,4,4,5.91,4600.0
1.1,9,1,6.79,9400.0
0.4,4,4,4.69,2200.0
0.75,1,3,5.43,2400.0
0.75,8,2,5.89,4400.0
1.35,5,5,7.2,10700.0
0.75,8,1,6.61,7900.0
0.9,5,4,6.31,6900.0
0.6,10,3,5.49,3600.0
0.75,1,5,5.7,2500.0
0.85,9,4,6.2,6600.0
1.25,5,1,6.91,10500.0
0.5,8,3,5.2,3100.0
0.95,5,2,6.38,7100.0
0.75,10,3,6.4,7600.0
0.45,8,4,4.81,2500.0
1.3,4,5,7.01,9900.0
0.75,9,1,6.62,8100.0
0.7,5,3,5.77,4200.0
0.55,8,2,5.38,3300.0
1.2,1,4,6.81,10100.0
1.05,9,3,6.65,9200.0
0.35,4,4,4.49,2100.0
0.8,8,1,6.01,4900.0
0.75,8,2,6.52,7900.0
0.5,5,4,5.11,2900.0
1.35,1,5,7.12,9900.0
0.65,5,3,5.5,3400.0
1.15,8,4,6.85,9800.0
0.4,5,1,4.7,2000.0
0.75,9,2,6.3,7700.0
0.95,4,5,6.42,7100.0
0.45,4,3,4.89,2300.0
1.25,9,2,6.9,10400.0
0.85,5,1,6.13,6300.0
0.75,8,3,6.43,7500.0
